code,name,id,region:id
1032,LYNGDAL,no_1032,no_nor
1034,HÆGEBOSTAD,no_1034,no_nor
1037,KVINESDAL,no_1037,no_nor
1046,SIRDAL,no_1046,no_nor
1101,EIGERSUND,no_1101,no_nor
1102,SANDNES,no_1102,no_nor
1103,STAVANGER,no_1103,no_nor
1106,HAUGESUND,no_1106,no_nor
1111,SOKNDAL,no_1111,no_nor
1112,LUND,no_1112,no_nor
1114,BJERKREIM,no_1114,no_nor
1119,HÅ,no_1119,no_nor
1120,KLEPP,no_1120,no_nor
1121,TIME,no_1121,no_nor
1122,GJESDAL,no_1122,no_nor
1124,SOLA,no_1124,no_nor
1127,RANDABERG,no_1127,no_nor
1129,FORSAND,no_1129,no_nor
1130,STRAND,no_1130,no_nor
1133,HJELMELAND,no_1133,no_nor
1134,SULDAL,no_1134,no_nor
1135,SAUDA,no_1135,no_nor
1141,FINNØY,no_1141,no_nor
1142,RENNESØY,no_1142,no_nor
1144,KVITSØY,no_1144,no_nor
1145,BOKN,no_1145,no_nor
1146,TYSVÆR,no_1146,no_nor
1149,KARMØY,no_1149,no_nor
1151,UTSIRA,no_1151,no_nor
1160,VINDAFJORD,no_1160,no_nor
1201,BERGEN,no_1201,no_nor
1211,ETNE,no_1211,no_nor
1216,SVEIO,no_1216,no_nor
1219,BØMLO,no_1219,no_nor
1221,STORD,no_1221,no_nor
1222,FITJAR,no_1222,no_nor
1223,TYSNES,no_1223,no_nor
1224,KVINNHERAD,no_1224,no_nor
1227,JONDAL,no_1227,no_nor
1228,ODDA,no_1228,no_nor
1231,ULLENSVANG,no_1231,no_nor
1232,EIDFJORD,no_1232,no_nor
1233,ULVIK,no_1233,no_nor
1234,GRANVIN,no_1234,no_nor
1235,VOSS,no_1235,no_nor
1238,KVAM,no_1238,no_nor
1241,FUSA,no_1241,no_nor
1242,SAMNANGER,no_1242,no_nor
1243,OS (HORDALAND),no_1243,no_nor
1244,AUSTEVOLL,no_1244,no_nor
1245,SUND,no_1245,no_nor
1246,FJELL,no_1246,no_nor
1247,ASKØY,no_1247,no_nor
1251,VAKSDAL,no_1251,no_nor
1252,MODALEN,no_1252,no_nor
1253,OSTERØY,no_1253,no_nor
1256,MELAND,no_1256,no_nor
1259,ØYGARDEN,no_1259,no_nor
1260,RADØY,no_1260,no_nor
1263,LINDÅS,no_1263,no_nor
1264,AUSTRHEIM,no_1264,no_nor
1265,FEDJE,no_1265,no_nor
1266,MASFJORDEN,no_1266,no_nor
1401,FLORA,no_1401,no_nor
1411,GULEN,no_1411,no_nor
1412,SOLUND,no_1412,no_nor
1413,HYLLESTAD,no_1413,no_nor
1416,HØYANGER,no_1416,no_nor
1417,VIK,no_1417,no_nor
1418,BALESTRAND,no_1418,no_nor
1419,LEIKANGER,no_1419,no_nor
1420,SOGNDAL,no_1420,no_nor
1421,AURLAND,no_1421,no_nor
1422,LÆRDAL,no_1422,no_nor
1424,ÅRDAL,no_1424,no_nor
1426,LUSTER,no_1426,no_nor
1428,ASKVOLL,no_1428,no_nor
1429,FJALER,no_1429,no_nor
1430,GAULAR,no_1430,no_nor
1431,JØLSTER,no_1431,no_nor
1432,FØRDE,no_1432,no_nor
1433,NAUSTDAL,no_1433,no_nor
1438,BREMANGER,no_1438,no_nor
1439,VÅGSØY,no_1439,no_nor
1441,SELJE,no_1441,no_nor
1443,EID,no_1443,no_nor
1444,HORNINDAL,no_1444,no_nor
1445,GLOPPEN,no_1445,no_nor
1449,STRYN,no_1449,no_nor
1502,MOLDE,no_1502,no_nor
1504,ÅLESUND,no_1504,no_nor
1505,KRISTIANSUND,no_1505,no_nor
1511,VANYLVEN,no_1511,no_nor
1514,SANDE (M.R.),no_1514,no_nor
1515,HERØY (M.R.),no_1515,no_nor
1516,ULSTEIN,no_1516,no_nor
1517,HAREID,no_1517,no_nor
1519,VOLDA,no_1519,no_nor
1520,ØRSTA,no_1520,no_nor
1523,ØRSKOG,no_1523,no_nor
1524,NORDDAL,no_1524,no_nor
1525,STRANDA,no_1525,no_nor
1526,STORDAL,no_1526,no_nor
1528,SYKKYLVEN,no_1528,no_nor
1529,SKODJE,no_1529,no_nor
1531,SULA,no_1531,no_nor
1532,GISKE,no_1532,no_nor
1534,HARAM,no_1534,no_nor
1535,VESTNES,no_1535,no_nor
1539,RAUMA,no_1539,no_nor
1543,NESSET,no_1543,no_nor
1545,MIDSUND,no_1545,no_nor
1546,SANDØY,no_1546,no_nor
1547,AUKRA,no_1547,no_nor
1548,FRÆNA,no_1548,no_nor
1551,EIDE,no_1551,no_nor
1554,AVERØY,no_1554,no_nor
1557,GJEMNES,no_1557,no_nor
1560,TINGVOLL,no_1560,no_nor
1563,SUNNDAL,no_1563,no_nor
1566,SURNADAL,no_1566,no_nor
1567,RINDAL,no_1567,no_nor
1571,HALSA,no_1571,no_nor
1573,SMØLA,no_1573,no_nor
1576,AURE,no_1576,no_nor
1601,TRONDHEIM,no_1601,no_nor
1612,HEMNE,no_1612,no_nor
1613,SNILLFJORD,no_1613,no_nor
1617,HITRA,no_1617,no_nor
1620,FRØYA,no_1620,no_nor
1621,ØRLAND,no_1621,no_nor
1622,AGDENES,no_1622,no_nor
1624,RISSA,no_1624,no_nor
1627,BJUGN,no_1627,no_nor
1630,ÅFJORD,no_1630,no_nor
1632,ROAN,no_1632,no_nor
1633,OSEN,no_1633,no_nor
1634,OPPDAL,no_1634,no_nor
1635,RENNEBU,no_1635,no_nor
1636,MELDAL,no_1636,no_nor
1638,ORKDAL,no_1638,no_nor
1640,RØROS,no_1640,no_nor
1644,HOLTÅLEN,no_1644,no_nor
1648,MIDTRE GAULDAL,no_1648,no_nor
1653,MELHUS,no_1653,no_nor
1657,SKAUN,no_1657,no_nor
1662,KLÆBU,no_1662,no_nor
