code,name,id,region:id
T4,Šentjernej,l10n_it_base.si_c_389,l10n_it_base.si_r_003
T5,Šentrupert,l10n_it_base.si_c_392,l10n_it_base.si_r_003
T6,Škofja Loka,l10n_it_base.si_c_396,l10n_it_base.si_r_001
T7,Škofljica,l10n_it_base.si_c_398,l10n_it_base.si_r_007
T8,Šmarješke Toplice,l10n_it_base.si_c_402,l10n_it_base.si_r_003
T9,Šmartno ob Paki,l10n_it_base.si_c_405,l10n_it_base.si_r_010
VE,Šoštanj,l10n_it_base.si_c_409,l10n_it_base.si_r_010
VP,Štore,l10n_it_base.si_c_411,l10n_it_base.si_r_010
VL,Tišina,l10n_it_base.si_c_414,l10n_it_base.si_r_009
VZ,Trnovska vas,l10n_it_base.si_c_422,l10n_it_base.si_r_008
VD,Trzin,l10n_it_base.si_c_424,l10n_it_base.si_r_007
VI,Turnišče,l10n_it_base.si_c_428,l10n_it_base.si_r_009
VT,Velenje,l10n_it_base.si_c_431,l10n_it_base.si_r_010
VC,Velika Polana,l10n_it_base.si_c_435,l10n_it_base.si_r_009
VJ,Veržej,l10n_it_base.si_c_438,l10n_it_base.si_r_009
VS,Videm,l10n_it_base.si_c_440,l10n_it_base.si_r_008
VR,Vitanje,l10n_it_base.si_c_445,l10n_it_base.si_r_010
VU,Vodice,l10n_it_base.si_c_447,l10n_it_base.si_r_007
ZG,Vransko,l10n_it_base.si_c_451,l10n_it_base.si_r_010
ZV,Vrhnika,l10n_it_base.si_c_453,l10n_it_base.si_r_007
ZR,Vuzenica,l10n_it_base.si_c_455,l10n_it_base.si_r_004
ZA,Zavrč,l10n_it_base.si_c_459,l10n_it_base.si_r_008
ZE,Kungota,l10n_it_base.si_c_463,l10n_it_base.si_r_008
ZT,Jezersko,l10n_it_base.si_c_468,l10n_it_base.si_r_001
ZI,Žetale,l10n_it_base.si_c_475,l10n_it_base.si_r_008
ZC,Žiri,l10n_it_base.si_c_476,l10n_it_base.si_r_001
ZZ,Žirovnica,l10n_it_base.si_c_477,l10n_it_base.si_r_001
