id,name,province_id:id,zip,phone_prefix,istat_code,cadaster_code,web_site
l10n_it_base.si_155,Koper/Capodistria,l10n_it_base.si_c_054,6000,386,251,245,
l10n_it_base.si_156,Koper/Capodistria - poštni predali,l10n_it_base.si_c_054,6001,386,251,245,
l10n_it_base.si_157,Koprivnica,l10n_it_base.si_c_028,8282,386,251,245,
l10n_it_base.si_158,Kostanjevica na Krasu,l10n_it_base.si_c_158,5296,386,251,245,
l10n_it_base.si_159,Kostanjevica na Krki,l10n_it_base.si_c_159,8311,386,251,245,
l10n_it_base.si_160,Kostel,l10n_it_base.si_c_160,1336,386,251,245,
l10n_it_base.si_161,Košana,l10n_it_base.si_c_161,6256,386,251,245,
l10n_it_base.si_162,Kotlje,l10n_it_base.si_c_162,2394,386,251,245,
l10n_it_base.si_163,Kozina,l10n_it_base.si_c_163,6240,386,251,245,
l10n_it_base.si_164,Kozje,l10n_it_base.si_c_035,3260,386,251,245,
l10n_it_base.si_165,Kranj,l10n_it_base.si_c_094,4000,386,251,245,
l10n_it_base.si_166,Kranj - poštni predali,l10n_it_base.si_c_094,4001,386,251,245,
l10n_it_base.si_167,Kranjska Gora,l10n_it_base.si_c_101,4280,386,251,245,
l10n_it_base.si_168,Kresnice,l10n_it_base.si_c_074,1281,386,251,245,
l10n_it_base.si_169,Križe,l10n_it_base.si_c_169,4294,386,251,245,
l10n_it_base.si_170,Križevci,l10n_it_base.si_c_170,9206,386,251,245,
l10n_it_base.si_171,Križevci pri Ljutomeru,l10n_it_base.si_c_171,9242,386,251,245,
l10n_it_base.si_172,Krka,l10n_it_base.si_c_124,1301,386,251,245,
l10n_it_base.si_173,Krmelj,l10n_it_base.si_c_014,8296,386,251,245,
l10n_it_base.si_174,Kropa,l10n_it_base.si_c_006,4245,386,251,245,
l10n_it_base.si_175,Krška vas,l10n_it_base.si_c_005,8262,386,251,245,
l10n_it_base.si_176,Krško,l10n_it_base.si_c_028,8270,386,251,245,
l10n_it_base.si_177,Kuzma,l10n_it_base.si_c_177,9263,386,251,245,
l10n_it_base.si_178,Laporje,l10n_it_base.si_c_178,2318,386,251,245,
l10n_it_base.si_179,Laško,l10n_it_base.si_c_133,3270,386,251,245,
l10n_it_base.si_180,Laze v Tuhinju,l10n_it_base.si_c_140,1219,386,251,245,
l10n_it_base.si_181,Lenart v Slovenskih goricah,l10n_it_base.si_c_181,2230,386,251,245,
l10n_it_base.si_182,Lendava/Lendva,l10n_it_base.si_c_182,9220,386,251,245,
l10n_it_base.si_183,Lesce,l10n_it_base.si_c_006,4248,386,251,245,
l10n_it_base.si_184,Lesično,l10n_it_base.si_c_035,3261,386,251,245,
l10n_it_base.si_185,Leskovec pri Krškem,l10n_it_base.si_c_028,8273,386,251,245,
l10n_it_base.si_186,Libeliče,l10n_it_base.si_c_083,2372,386,251,245,
l10n_it_base.si_187,Limbuš,l10n_it_base.si_c_029,2341,386,251,245,
l10n_it_base.si_188,Litija,l10n_it_base.si_c_074,1270,386,251,245,
l10n_it_base.si_189,Ljubečna,l10n_it_base.si_c_038,3202,386,251,245,
l10n_it_base.si_190,Ljubljana,l10n_it_base.si_c_190,1000,386,251,245,
l10n_it_base.si_191,Ljubljana - poštni predali,l10n_it_base.si_c_190,1001,386,251,245,
l10n_it_base.si_192,Ljubljana - Črnuče,l10n_it_base.si_c_190,1231,386,251,245,
l10n_it_base.si_193,Ljubljana - Dobrunje,l10n_it_base.si_c_190,1261,386,251,245,
l10n_it_base.si_194,Ljubljana - Polje,l10n_it_base.si_c_190,1260,386,251,245,
l10n_it_base.si_195,Ljubljana - Šentvid,l10n_it_base.si_c_190,1210,386,251,245,
l10n_it_base.si_196,Ljubljana - Šmartno,l10n_it_base.si_c_190,1211,386,251,245,
l10n_it_base.si_197,Ljubno ob Savinji,l10n_it_base.si_c_197,3333,386,251,245,
l10n_it_base.si_198,Ljutomer,l10n_it_base.si_c_198,9240,386,251,245,
l10n_it_base.si_199,Loče,l10n_it_base.si_c_199,3215,386,251,245,
l10n_it_base.si_200,Log pod Mangartom,l10n_it_base.si_c_024,5231,386,251,245,
l10n_it_base.si_201,Log pri Brezovici,l10n_it_base.si_c_201,1358,386,251,245,
l10n_it_base.si_202,Logatec,l10n_it_base.si_c_116,1370,386,251,245,
l10n_it_base.si_203,Logatec,l10n_it_base.si_c_116,1371,386,251,245,
l10n_it_base.si_204,Loka pri Zidanem Mostu,l10n_it_base.si_c_014,1434,386,251,245,
l10n_it_base.si_205,Loka pri Žusmu,l10n_it_base.si_c_082,3223,386,251,245,
l10n_it_base.si_206,Lokev,l10n_it_base.si_c_085,6219,386,251,245,
l10n_it_base.si_207,Loški Potok,l10n_it_base.si_c_080,1318,386,251,245,
l10n_it_base.si_208,Lovrenc na Dravskem polju,l10n_it_base.si_c_046,2324,386,251,245,
l10n_it_base.si_209,Lovrenc na Pohorju,l10n_it_base.si_c_209,2344,386,251,245,
l10n_it_base.si_210,Luče,l10n_it_base.si_c_210,3334,386,251,245,
l10n_it_base.si_211,Lukovica,l10n_it_base.si_c_013,1225,386,251,245,
l10n_it_base.si_212,Mačkovci,l10n_it_base.si_c_017,9202,386,251,245,
l10n_it_base.si_213,Majšperk,l10n_it_base.si_c_213,2322,386,251,245,
l10n_it_base.si_214,Makole,l10n_it_base.si_c_214,2321,386,251,245,
l10n_it_base.si_215,Mala Nedelja,l10n_it_base.si_c_198,9243,386,251,245,
l10n_it_base.si_216,Malečnik,l10n_it_base.si_c_029,2229,386,251,245,
l10n_it_base.si_217,Marezige,l10n_it_base.si_c_054,6273,386,251,245,
l10n_it_base.si_218,Maribor,l10n_it_base.si_c_029,2000,386,251,245,
l10n_it_base.si_219,Maribor - poštni predali,l10n_it_base.si_c_029,2001,386,251,245,
l10n_it_base.si_220,Marjeta na Dravskem polju,l10n_it_base.si_c_220,2206,386,251,245,
l10n_it_base.si_221,Markovci,l10n_it_base.si_c_221,2281,386,251,245,
l10n_it_base.si_222,Martjanci,l10n_it_base.si_c_018,9221,386,251,245,
l10n_it_base.si_223,Materija,l10n_it_base.si_c_163,6242,386,251,245,
l10n_it_base.si_224,Mavčiče,l10n_it_base.si_c_094,4211,386,251,245,
l10n_it_base.si_225,Medvode,l10n_it_base.si_c_225,1215,386,251,245,
l10n_it_base.si_226,Mengeš,l10n_it_base.si_c_226,1234,386,251,245,
l10n_it_base.si_227,Metlika,l10n_it_base.si_c_104,8330,386,251,245,
l10n_it_base.si_228,Mežica,l10n_it_base.si_c_228,2392,386,251,245,
l10n_it_base.si_229,Miklavž na Dravskem polju,l10n_it_base.si_c_229,2204,386,251,245,
l10n_it_base.si_230,Miklavž pri Ormožu,l10n_it_base.si_c_125,2275,386,251,245,
l10n_it_base.si_231,Miren,l10n_it_base.si_c_158,5291,386,251,245,
l10n_it_base.si_232,Mirna,l10n_it_base.si_c_232,8233,386,251,245,
l10n_it_base.si_233,Mirna Peč,l10n_it_base.si_c_233,8216,386,251,245,
l10n_it_base.si_234,Mislinja,l10n_it_base.si_c_234,2382,386,251,245,
l10n_it_base.si_235,Mojstrana,l10n_it_base.si_c_101,4281,386,251,245,
l10n_it_base.si_236,Mokronog,l10n_it_base.si_c_236,8230,386,251,245,
l10n_it_base.si_237,Moravče,l10n_it_base.si_c_237,1251,386,251,245,
l10n_it_base.si_238,Moravske Toplice,l10n_it_base.si_c_018,9226,386,251,245,
l10n_it_base.si_239,Most na Soči,l10n_it_base.si_c_106,5216,386,251,245,
l10n_it_base.si_240,Motnik,l10n_it_base.si_c_140,1221,386,251,245,
l10n_it_base.si_241,Mozirje,l10n_it_base.si_c_241,3330,386,251,245,
l10n_it_base.si_242,Murska Sobota,l10n_it_base.si_c_242,9000,386,251,245,
l10n_it_base.si_243,Murska Sobota - poštni predali,l10n_it_base.si_c_242,9001,386,251,245,
l10n_it_base.si_244,Muta,l10n_it_base.si_c_244,2366,386,251,245,
l10n_it_base.si_245,Naklo,l10n_it_base.si_c_245,4202,386,251,245,
l10n_it_base.si_246,Nazarje,l10n_it_base.si_c_246,3331,386,251,245,
l10n_it_base.si_247,Notranje Gorice,l10n_it_base.si_c_031,1357,386,251,245,
l10n_it_base.si_248,Nova Cerkev,l10n_it_base.si_c_090,3203,386,251,245,
l10n_it_base.si_249,Nova Gorica,l10n_it_base.si_c_025,5000,386,251,245,
l10n_it_base.si_250,Nova Gorica - poštni predali,l10n_it_base.si_c_025,5001,386,251,245,
l10n_it_base.si_251,Nova vas,l10n_it_base.si_c_251,1385,386,251,245,
l10n_it_base.si_252,Novo mesto,l10n_it_base.si_c_034,8000,386,251,245,
l10n_it_base.si_253,Novo mesto - poštni predali,l10n_it_base.si_c_034,8001,386,251,245,
l10n_it_base.si_254,Obrov,l10n_it_base.si_c_163,6243,386,251,245,
l10n_it_base.si_255,Odranci,l10n_it_base.si_c_255,9233,386,251,245,
l10n_it_base.si_256,Oplotnica,l10n_it_base.si_c_256,2317,386,251,245,
l10n_it_base.si_257,Orehova vas,l10n_it_base.si_c_113,2312,386,251,245,
l10n_it_base.si_258,Ormož,l10n_it_base.si_c_125,2270,386,251,245,
l10n_it_base.si_259,Ortnek,l10n_it_base.si_c_075,1316,386,251,245,
l10n_it_base.si_260,Osilnica,l10n_it_base.si_c_260,1337,386,251,245,
l10n_it_base.si_261,Otočec,l10n_it_base.si_c_034,8222,386,251,245,
l10n_it_base.si_262,Ožbalt,l10n_it_base.si_c_262,2361,386,251,245,
l10n_it_base.si_263,Pernica,l10n_it_base.si_c_128,2231,386,251,245,
l10n_it_base.si_264,Pesnica pri Mariboru,l10n_it_base.si_c_128,2211,386,251,245,
l10n_it_base.si_265,Petrovci,l10n_it_base.si_c_170,9203,386,251,245,
l10n_it_base.si_266,Petrovče,l10n_it_base.si_c_108,3301,386,251,245,
l10n_it_base.si_267,Piran/Pirano,l10n_it_base.si_c_267,6330,386,251,245,
l10n_it_base.si_268,Pišece,l10n_it_base.si_c_005,8255,386,251,245,
l10n_it_base.si_269,Pivka,l10n_it_base.si_c_161,6257,386,251,245,
l10n_it_base.si_270,Planina,l10n_it_base.si_c_118,6232,386,251,245,
l10n_it_base.si_271,Planina pri Sevnici,l10n_it_base.si_c_082,3225,386,251,245,
l10n_it_base.si_272,Pobegi,l10n_it_base.si_c_054,6276,386,251,245,
l10n_it_base.si_273,Podbočje,l10n_it_base.si_c_028,8312,386,251,245,
l10n_it_base.si_274,Podbrdo,l10n_it_base.si_c_106,5243,386,251,245,
l10n_it_base.si_275,Podčetrtek,l10n_it_base.si_c_275,3254,386,251,245,
l10n_it_base.si_276,Podgorci,l10n_it_base.si_c_125,2273,386,251,245,
l10n_it_base.si_277,Podgorje,l10n_it_base.si_c_054,6216,386,251,245,
l10n_it_base.si_278,Podgorje pri Slovenj Gradcu,l10n_it_base.si_c_278,2381,386,251,245,
l10n_it_base.si_279,Podgrad,l10n_it_base.si_c_122,6244,386,251,245,
l10n_it_base.si_280,Podkum,l10n_it_base.si_c_050,1414,386,251,245,
l10n_it_base.si_281,Podlehnik,l10n_it_base.si_c_281,2286,386,251,245,
l10n_it_base.si_282,Podnanos,l10n_it_base.si_c_084,5272,386,251,245,
l10n_it_base.si_283,Podnart,l10n_it_base.si_c_006,4244,386,251,245,
l10n_it_base.si_284,Podplat,l10n_it_base.si_c_284,3241,386,251,245,
l10n_it_base.si_285,Podsreda,l10n_it_base.si_c_035,3257,386,251,245,
l10n_it_base.si_286,Podvelka,l10n_it_base.si_c_262,2363,386,251,245,
l10n_it_base.si_287,Pohorje,l10n_it_base.si_c_047,2208,386,251,245,
l10n_it_base.si_288,Polenšak,l10n_it_base.si_c_078,2257,386,251,245,
l10n_it_base.si_289,Polhov Gradec,l10n_it_base.si_c_069,1355,386,251,245,
l10n_it_base.si_290,Poljane nad Škofjo Loko,l10n_it_base.si_c_096,4223,386,251,245,
l10n_it_base.si_291,Poljčane,l10n_it_base.si_c_291,2319,386,251,245,
l10n_it_base.si_292,Polšnik,l10n_it_base.si_c_074,1272,386,251,245,
l10n_it_base.si_293,Polzela,l10n_it_base.si_c_293,3313,386,251,245,
l10n_it_base.si_294,Ponikva,l10n_it_base.si_c_082,3232,386,251,245,
l10n_it_base.si_295,Portorož/Portorose,l10n_it_base.si_c_267,6320,386,251,245,
l10n_it_base.si_296,Postojna,l10n_it_base.si_c_118,6230,386,251,245,
l10n_it_base.si_297,Pragersko,l10n_it_base.si_c_178,2331,386,251,245,
l10n_it_base.si_298,Prebold,l10n_it_base.si_c_298,3312,386,251,245,
l10n_it_base.si_299,Preddvor,l10n_it_base.si_c_299,4205,386,251,245,
l10n_it_base.si_300,Prem,l10n_it_base.si_c_122,6255,386,251,245,
l10n_it_base.si_301,Preserje,l10n_it_base.si_c_031,1352,386,251,245,
l10n_it_base.si_302,Prestranek,l10n_it_base.si_c_118,6258,386,251,245,
l10n_it_base.si_303,Prevalje,l10n_it_base.si_c_303,2391,386,251,245,
l10n_it_base.si_304,Prevorje,l10n_it_base.si_c_082,3262,386,251,245,
l10n_it_base.si_305,Primskovo,l10n_it_base.si_c_305,1276,386,251,245,
l10n_it_base.si_306,Pristava pri Mestinju,l10n_it_base.si_c_275,3253,386,251,245,
l10n_it_base.si_307,Prosenjakovci/Partosfalva,l10n_it_base.si_c_018,9207,386,251,245,
l10n_it_base.si_308,Prvačina,l10n_it_base.si_c_025,5297,386,251,245,
l10n_it_base.si_309,Ptuj,l10n_it_base.si_c_309,2250,386,251,245,
l10n_it_base.si_310,Ptujska Gora,l10n_it_base.si_c_213,2323,386,251,245,
l10n_it_base.si_311,Puconci,l10n_it_base.si_c_017,9201,386,251,245,
l10n_it_base.si_312,Rače,l10n_it_base.si_c_089,2327,386,251,245,
l10n_it_base.si_313,Radeče,l10n_it_base.si_c_313,1433,386,251,245,
l10n_it_base.si_314,Radenci,l10n_it_base.si_c_314,9252,386,251,245,
l10n_it_base.si_315,Radlje ob Dravi,l10n_it_base.si_c_315,2360,386,251,245,
l10n_it_base.si_316,Radomlje,l10n_it_base.si_c_062,1235,386,251,245,
l10n_it_base.si_317,Radovljica,l10n_it_base.si_c_006,4240,386,251,245,
l10n_it_base.si_318,Raka,l10n_it_base.si_c_028,8274,386,251,245,
l10n_it_base.si_319,Rakek,l10n_it_base.si_c_007,1381,386,251,245,
l10n_it_base.si_320,Rateče - Planica,l10n_it_base.si_c_101,4283,386,251,245,
